rabbitfishes	:rabbit: :fish: :es:
rabbitfish	:rabbit: :fish:
alienship	:alien: :ship:
bulbous	:bulb: :o: :us:
bulbus	:bulb: :us:
faxes	:fax: :es:
womanship	:woman: :ship:
womanhouse	:woman: :house:
dollarfishes	:dollar: :fish: :es:
dollarfish	:dollar: :fish:
dollarbird	:dollar: :bird:
endamages	:end: :a: :mag: :es:
endear	:end: :ear:
endites	:end: :it: :es:
endship	:end: :ship:
endnotes	:end: :notes:
endleaves	:end: :leaves:
endanger	:end: :anger:
endhand	:end: :hand:
endamask	:end: :a: :mask:
wavering	:wave: :ring:
fourb	:four: :b:
schoolhouse	:school: :house:
schoolbooks	:school: :books:
schoolbook	:school: :book:
schoolman	:school: :man:
schoolboy	:school: :boy:
schoolmaid	:school: :m: :a: :id:
schoolgirl	:school: :girl:
schoolmaam	:school: :m: :a: :a: :m:
schoolma	:school: :m: :a:
gunlock	:gun: :lock:
gunboat	:gun: :boat:
gundog	:gun: :dog:
gunhouse	:gun: :house:
gunrunning	:gun: :running:
gunman	:gun: :man:
gunmanship	:gun: :man: :ship:
gunwhale	:gun: :whale:
gunmetal	:gun: :metal:
gunship	:gun: :ship:
gunfire	:gun: :fire:
guna	:gun: :a:
gunong	:gun: :o: :ng:
gunrunner	:gun: :runner:
triumphant	:triumph: :ant:
tearage	:tea: :rage:
tearing	:tea: :ring:
teaboy	:tea: :boy:
teabox	:tea: :b: :ox:
team	:tea: :m:
teamman	:tea: :m: :man:
teahouse	:tea: :house:
teaman	:tea: :man:
teacake	:tea: :cake:
teaboxes	:tea: :b: :o: :x: :es:
zeroes	:zero: :es:
cactuses	:cactus: :es:
ribbonback	:ribbon: :back:
ribbonfish	:ribbon: :fish:
ribbonfishes	:ribbon: :fish: :es:
megaphone	:mega: :phone:
megabit	:mega: :b: :it:
newman	:new: :man:
newfish	:new: :fish:
birdhouse	:bird: :house:
birdman	:bird: :man:
birdwoman	:bird: :woman:
birdclapper	:bird: :clapper:
birdwatch	:bird: :watch:
birdbath	:bird: :bath:
hashes	:hash: :es:
hashab	:hash: :ab:
herbwoman	:herb: :woman:
herbart	:herb: :art:
herba	:herb: :a:
herbid	:herb: :id:
herbman	:herb: :man:
herbous	:herb: :o: :us:
punches	:punch: :es:
boyship	:boy: :ship:
boyo	:boy: :o:
boyaus	:boy: :a: :us:
boyang	:boy: :a: :ng:
bowwoman	:bow: :woman:
bowback	:bow: :back:
bowman	:bow: :man:
bowboy	:bow: :boy:
applewoman	:apple: :woman:
appleblossom	:apple: :blossom:
cloudship	:cloud: :ship:
poodleship	:poodle: :ship:
frogtongue	:frog: :tongue:
frogeyes	:frog: :eyes:
frogfishes	:frog: :fish: :es:
frognose	:frog: :nose:
frogbit	:frog: :b: :it:
frogfish	:frog: :fish:
frogman	:frog: :man:
princesses	:princess: :es:
camerawoman	:camera: :woman:
cameraman	:camera: :man:
arieses	:aries: :es:
doormaid	:door: :m: :a: :id:
doorboy	:door: :boy:
doorman	:door: :man:
doorba	:door: :b: :a:
doorbell	:door: :bell:
phonemes	:phone: :m: :es:
trainboy	:train: :boy:
trainman	:train: :man:
trainant	:train: :ant:
babyship	:baby: :ship:
babyhouse	:baby: :house:
pouches	:pouch: :es:
caramba	:car: :a: :m: :b: :a:
carid	:car: :id:
cara	:car: :a:
carites	:car: :it: :es:
caraboa	:car: :a: :b: :o: :a:
carone	:car: :one:
carves	:car: :v: :es:
caroon	:car: :o: :on:
caracara	:car: :a: :car: :a:
carrat	:car: :rat:
carlock	:car: :lock:
carbides	:car: :b: :id: :es:
carfour	:car: :four:
carob	:car: :o: :b:
caroa	:car: :o: :a:
carom	:car: :o: :m:
carabid	:car: :a: :b: :id:
carbonous	:car: :b: :on: :o: :us:
carbona	:car: :b: :on: :a:
carangid	:car: :a: :ng: :id:
carcake	:car: :cake:
carabus	:car: :a: :bus:
carbone	:car: :b: :one:
carbonade	:car: :b: :on: :a: :de:
carabao	:car: :a: :b: :a: :o:
caruso	:car: :us: :o:
carouses	:car: :o: :us: :es:
cartop	:car: :top:
carbon	:car: :b: :on:
caridoid	:car: :id: :o: :id:
carbones	:car: :b: :on: :es:
carvone	:car: :v: :one:
carnose	:car: :nose:
carus	:car: :us:
caroba	:car: :o: :b: :a:
carbamido	:car: :b: :a: :m: :id: :o:
carman	:car: :man:
carboy	:car: :boy:
caraboid	:car: :a: :b: :o: :id:
carangoid	:car: :a: :ng: :o: :id:
cares	:car: :es:
carabidoid	:car: :a: :b: :id: :o: :id:
carfax	:car: :fax:
carbo	:car: :b: :o:
carhouse	:car: :house:
cates	:cat: :es:
catfish	:cat: :fish:
catboat	:cat: :boat:
cathouse	:cat: :house:
catfishes	:cat: :fish: :es:
catcalling	:cat: :calling:
catamites	:cat: :a: :m: :it: :es:
catsos	:cat: :sos:
catbird	:cat: :bird:
cato	:cat: :o:
heartblock	:heart: :b: :lock:
heartbird	:heart: :bird:
lockrum	:lock: :ru: :m:
lockram	:lock: :ram:
lockup	:lock: :up:
lockbox	:lock: :b: :ox:
lockman	:lock: :man:
lockboxes	:lock: :b: :o: :x: :es:
dolphinfish	:dolphin: :fish:
dolphinfishes	:dolphin: :fish: :es:
acceptavit	:accept: :a: :v: :it:
acceptant	:accept: :ant:
trumpetfishes	:trumpet: :fish: :es:
trumpetfish	:trumpet: :fish:
dresses	:dress: :es:
speedboatman	:speedboat: :man:
sixmo	:six: :m: :o:
sixes	:six: :es:
sixgun	:six: :gun:
elephanta	:elephant: :a:
elephantoid	:elephant: :o: :id:
elephantous	:elephant: :o: :us:
goatfishes	:goat: :fish: :es:
goatfish	:goat: :fish:
watchcry	:watch: :cry:
watchfree	:watch: :free:
watchmanship	:watch: :man: :ship:
watches	:watch: :es:
watchdog	:watch: :dog:
watchman	:watch: :man:
watchhouse	:watch: :house:
watchwoman	:watch: :woman:
watchfire	:watch: :fire:
watchboat	:watch: :boat:
watcheyes	:watch: :eyes:
customshouse	:customs: :house:
magma	:mag: :m: :a:
magoo	:mag: :o: :o:
magus	:mag: :us:
mages	:mag: :es:
manitous	:man: :it: :o: :us:
manama	:man: :a: :m: :a:
manacles	:man: :a: :cl: :es:
mandate	:man: :date:
manbird	:man: :bird:
manmade	:man: :m: :a: :de:
manship	:man: :ship:
manuka	:man: :uk: :a:
manteaus	:man: :tea: :us:
manaus	:man: :a: :us:
manit	:man: :it:
manid	:man: :id:
mantram	:man: :tram:
manitoba	:man: :it: :o: :b: :a:
manito	:man: :it: :o:
manus	:man: :us:
manba	:man: :b: :a:
manfish	:man: :fish:
manx	:man: :x:
mana	:man: :a:
mano	:man: :o:
manes	:man: :es:
manitus	:man: :it: :us:
mannose	:man: :nose:
tomatoes	:tomato: :es:
dragonfish	:dragon: :fish:
dragonade	:dragon: :a: :de:
dragonfishes	:dragon: :fish: :es:
tulipant	:tulip: :ant:
truckman	:truck: :man:
wrenches	:wrench: :es:
eggfish	:egg: :fish:
eggshell	:egg: :shell:
eggo	:egg: :o:
officemax	:office: :m: :a: :x:
officering	:office: :ring:
officerage	:office: :rage:
japaneses	:japan: :es: :es:
praya	:pray: :a:
impart	:imp: :art:
impv	:imp: :v:
impavid	:imp: :a: :v: :id:
impastation	:imp: :a: :station:
impone	:imp: :one:
impship	:imp: :ship:
impotent	:imp: :o: :tent:
impend	:imp: :end:
impones	:imp: :on: :es:
snakebites	:snake: :b: :it: :es:
snakebird	:snake: :bird:
snakefishes	:snake: :fish: :es:
snakeship	:snake: :ship:
snakefish	:snake: :fish:
kisses	:kiss: :es:
breadboxes	:bread: :b: :o: :x: :es:
breadman	:bread: :man:
breadbox	:bread: :b: :ox:
trama	:tram: :a:
tramman	:tram: :man:
trammon	:tram: :m: :on:
tramcar	:tram: :car:
turtleback	:turtle: :back:
houseman	:house: :man:
houseboat	:house: :boat:
houseboy	:house: :boy:
housebug	:house: :bug:
housetop	:house: :top:
housemaid	:house: :m: :a: :id:
housedress	:house: :dress:
housephone	:house: :phone:
fishback	:fish: :back:
fishpound	:fish: :pound:
fishes	:fish: :es:
fishbones	:fish: :b: :on: :es:
fishboat	:fish: :boat:
fishman	:fish: :man:
fishwoman	:fish: :woman:
fishbone	:fish: :b: :one:
fishhouse	:fish: :house:
fisheyes	:fish: :eyes:
fistnotes	:fist: :notes:
factoryship	:factory: :ship:
fountainous	:fountain: :o: :us:
freeman	:free: :man:
freemanship	:free: :man: :ship:
freehand	:free: :hand:
freeboot	:free: :boot:
freewoman	:free: :woman:
mailboxes	:mailbox: :es:
blushes	:blush: :es:
oneupmanship	:one: :up: :man: :ship:
onerose	:one: :rose:
oneida	:one: :id: :a:
datebook	:date: :book:
scissorsbird	:scissors: :bird:
ringbone	:ring: :b: :one:
ringman	:ring: :man:
ringbones	:ring: :b: :on: :es:
ringo	:ring: :o:
ringbird	:ring: :bird:
sheepdog	:sheep: :dog:
sheepbell	:sheep: :bell:
sheepnose	:sheep: :nose:
sheepman	:sheep: :man:
sheephouse	:sheep: :house:
sheepback	:sheep: :back:
horseshoe	:horse: :shoe:
horsewoman	:horse: :woman:
horsemanship	:horse: :man: :ship:
horseback	:horse: :back:
horsetongue	:horse: :tongue:
horseboy	:horse: :boy:
horsefishes	:horse: :fish: :es:
horsebox	:horse: :b: :ox:
horsewomanship	:horse: :woman: :ship:
horselock	:horse: :lock:
horseman	:horse: :man:
horseshit	:horse: :shit:
horsefish	:horse: :fish:
horsecar	:horse: :car:
atmo	:atm: :o:
atma	:atm: :a:
atmid	:atm: :id:
topman	:top: :man:
topes	:top: :es:
topdress	:top: :dress:
topophone	:top: :o: :phone:
topo	:top: :o:
stationman	:station: :man:
stationaries	:station: :aries:
eyestrain	:eyes: :train:
shellman	:shell: :man:
shellapple	:shell: :apple:
shellfishes	:shell: :fish: :es:
shellfire	:shell: :fire:
shellfish	:shell: :fish:
shellback	:shell: :back:
hotelman	:hotel: :man:
minibuses	:minibus: :es:
angelita	:angel: :it: :a:
angelito	:angel: :it: :o:
angelship	:angel: :ship:
angeluses	:angel: :us: :es:
angelfishes	:angel: :fish: :es:
angelo	:angel: :o:
angelus	:angel: :us:
angeles	:angel: :es:
angelfish	:angel: :fish:
angeleyes	:angel: :eyes:
angelon	:angel: :on:
angela	:angel: :a:
ramarama	:ram: :a: :ram: :a:
ramus	:ram: :us:
ramous	:ram: :o: :us:
rampager	:ram: :pager:
rama	:ram: :a:
ramona	:ram: :on: :a:
ramoon	:ram: :o: :on:
rambo	:ram: :b: :o:
rambong	:ram: :b: :o: :ng:
ramon	:ram: :on:
antes	:ant: :es:
anta	:ant: :a:
antone	:ant: :one:
antrum	:ant: :ru: :m:
anton	:ant: :on:
antitax	:ant: :it: :a: :x:
antbird	:ant: :bird:
antship	:ant: :ship:
rata	:rat: :a:
ratites	:rat: :it: :es:
ratoon	:rat: :o: :on:
ratfishes	:rat: :fish: :es:
rato	:rat: :o:
ratfish	:rat: :fish:
ratitous	:rat: :it: :o: :us:
rates	:rat: :es:
kokoon	:koko: :on:
kokoona	:koko: :on: :a:
charthouse	:chart: :house:
charta	:chart: :a:
eightvo	:eight: :v: :o:
dogship	:dog: :ship:
